# step avg_reward percentage_opt_action
508 1.309028 0.693000
509 1.338335 0.688000
510 1.227536 0.669000
511 1.390866 0.684000
512 1.282650 0.698000
513 1.288001 0.683000
514 1.333806 0.687000
515 1.296867 0.679000
516 1.312557 0.690000
517 1.355669 0.699000
518 1.282900 0.693000
519 1.314331 0.702000
520 1.316725 0.695000
521 1.373947 0.700000
522 1.308220 0.695000
523 1.344704 0.707000
524 1.357928 0.714000
525 1.322861 0.705000
526 1.269070 0.703000
527 1.348509 0.696000
528 1.311239 0.688000
529 1.313698 0.698000
530 1.352049 0.703000
531 1.318002 0.698000
532 1.244681 0.690000
533 1.334553 0.706000
534 1.317549 0.700000
535 1.318639 0.698000
536 1.336247 0.709000
537 1.338925 0.705000
538 1.382691 0.721000
539 1.315229 0.712000
540 1.288129 0.699000
541 1.240541 0.694000
542 1.349084 0.720000
543 1.302085 0.698000
544 1.368639 0.705000
545 1.365195 0.720000
546 1.371746 0.725000
547 1.394849 0.727000
548 1.316064 0.711000
549 1.281450 0.711000
550 1.296922 0.702000
551 1.295696 0.701000
552 1.364820 0.706000
553 1.398700 0.720000
554 1.358649 0.727000
555 1.225767 0.690000
556 1.367793 0.720000
557 1.292089 0.718000
558 1.341602 0.714000
559 1.266402 0.718000
560 1.427622 0.725000
561 1.342181 0.713000
562 1.341928 0.726000
563 1.393503 0.700000
564 1.319040 0.714000
565 1.347160 0.711000
566 1.289690 0.697000
567 1.324949 0.713000
568 1.374033 0.714000
569 1.291827 0.715000
570 1.300484 0.709000
571 1.389401 0.715000
572 1.305868 0.711000
573 1.360045 0.713000
574 1.308154 0.705000
575 1.325466 0.721000
576 1.287357 0.710000
577 1.282030 0.698000
578 1.320972 0.707000
579 1.364268 0.708000
580 1.385392 0.717000
581 1.326120 0.712000
582 1.339283 0.699000
583 1.371363 0.723000
584 1.361804 0.717000
585 1.338863 0.720000
586 1.363116 0.716000
587 1.372878 0.717000
588 1.341450 0.717000
589 1.331640 0.707000
590 1.335231 0.720000
591 1.317431 0.721000
592 1.290271 0.710000
593 1.273631 0.707000
594 1.396353 0.724000
595 1.366011 0.718000
596 1.322170 0.721000
597 1.335901 0.721000
598 1.380638 0.718000
599 1.352468 0.744000
600 1.385165 0.728000
601 1.374777 0.713000
602 1.344060 0.722000
603 1.376985 0.723000
604 1.356117 0.715000
605 1.431144 0.723000
606 1.371551 0.719000
607 1.331384 0.722000
608 1.302470 0.715000
609 1.230229 0.706000
610 1.345639 0.709000
611 1.391904 0.701000
612 1.386248 0.706000
613 1.321271 0.710000
614 1.395764 0.716000
615 1.380862 0.716000
616 1.311322 0.718000
617 1.273757 0.723000
618 1.340254 0.711000
619 1.370419 0.724000
620 1.362510 0.707000
621 1.270587 0.694000
622 1.387813 0.719000
623 1.272224 0.713000
624 1.381058 0.735000
625 1.316390 0.717000
626 1.355792 0.714000
627 1.278675 0.717000
628 1.351424 0.711000
629 1.310965 0.723000
630 1.324542 0.715000
631 1.329073 0.701000
632 1.339502 0.727000
633 1.283711 0.700000
634 1.336099 0.711000
635 1.359785 0.711000
636 1.364205 0.727000
637 1.303728 0.707000
638 1.328384 0.718000
639 1.304136 0.708000
640 1.343255 0.712000
641 1.332739 0.727000
642 1.333990 0.709000
643 1.356665 0.728000
644 1.352446 0.726000
645 1.337787 0.725000
646 1.319958 0.710000
647 1.260512 0.700000
648 1.423725 0.737000
649 1.320413 0.706000
650 1.397342 0.726000
651 1.315876 0.709000
652 1.359356 0.729000
653 1.376656 0.716000
654 1.331314 0.719000
655 1.362962 0.722000
656 1.348807 0.726000
657 1.354124 0.722000
658 1.312772 0.728000
659 1.363054 0.729000
660 1.364755 0.717000
661 1.366348 0.742000
662 1.308290 0.725000
663 1.383990 0.739000
664 1.372000 0.732000
665 1.355412 0.715000
666 1.329840 0.721000
667 1.348585 0.730000
668 1.330714 0.728000
669 1.342617 0.728000
670 1.389694 0.733000
671 1.355798 0.719000
672 1.319252 0.713000
673 1.370100 0.734000
674 1.310367 0.715000
675 1.313809 0.737000
676 1.275198 0.713000
677 1.379482 0.728000
678 1.385197 0.730000
679 1.362396 0.731000
680 1.328780 0.712000
681 1.303910 0.725000
682 1.383838 0.722000
683 1.329556 0.720000
684 1.340837 0.726000
685 1.355981 0.726000
686 1.356273 0.745000
687 1.345027 0.750000
688 1.313575 0.726000
689 1.333817 0.740000
690 1.333928 0.750000
691 1.367087 0.735000
692 1.378794 0.743000
693 1.337733 0.739000
694 1.413160 0.737000
695 1.346550 0.734000
696 1.304483 0.727000
697 1.280881 0.717000
698 1.384169 0.732000
699 1.328744 0.730000
700 1.365683 0.739000
701 1.408902 0.733000
702 1.379954 0.730000
703 1.356572 0.731000
704 1.389627 0.732000
705 1.328121 0.726000
706 1.358275 0.739000
707 1.399438 0.735000
708 1.341357 0.728000
709 1.378641 0.738000
710 1.303174 0.728000
711 1.333126 0.745000
712 1.321457 0.732000
713 1.314570 0.734000
714 1.313425 0.748000
715 1.376054 0.762000
716 1.297317 0.733000
717 1.296701 0.719000
718 1.404737 0.734000
719 1.342658 0.745000
720 1.338877 0.749000
721 1.365641 0.740000
722 1.426796 0.741000
723 1.313826 0.738000
724 1.351441 0.745000
725 1.394689 0.732000
726 1.342819 0.744000
727 1.337476 0.737000
728 1.379103 0.741000
729 1.361118 0.747000
730 1.389048 0.731000
731 1.361013 0.736000
732 1.356985 0.748000
733 1.245459 0.726000
734 1.385938 0.736000
735 1.362021 0.734000
736 1.305811 0.724000
737 1.319927 0.723000
738 1.324752 0.716000
739 1.339371 0.741000
740 1.355246 0.729000
741 1.327210 0.733000
742 1.377947 0.753000
743 1.365921 0.745000
744 1.335340 0.741000
745 1.325691 0.736000
746 1.353279 0.744000
747 1.446987 0.749000
748 1.396199 0.744000
749 1.310215 0.727000
750 1.314684 0.716000
751 1.388781 0.752000
752 1.369734 0.736000
753 1.378341 0.744000
754 1.323733 0.743000
755 1.342299 0.734000
756 1.330727 0.720000
757 1.417207 0.742000
758 1.366625 0.733000
759 1.354765 0.741000
760 1.369943 0.753000
761 1.366548 0.749000
762 1.428126 0.752000
763 1.407363 0.754000
764 1.407428 0.743000
765 1.394751 0.740000
766 1.306178 0.731000
767 1.358001 0.751000
768 1.335730 0.735000
769 1.314722 0.743000
770 1.359674 0.748000
771 1.343058 0.742000
772 1.428201 0.749000
773 1.364985 0.748000
774 1.326994 0.738000
775 1.341940 0.739000
776 1.326180 0.743000
777 1.313971 0.737000
778 1.352175 0.741000
779 1.378006 0.747000
780 1.349690 0.737000
781 1.334710 0.748000
782 1.354132 0.744000
783 1.321482 0.741000
784 1.261310 0.731000
785 1.366662 0.747000
786 1.303592 0.741000
787 1.390824 0.749000
788 1.386086 0.740000
789 1.372184 0.750000
790 1.382521 0.757000
791 1.357254 0.742000
792 1.326998 0.741000
793 1.411361 0.755000
794 1.400534 0.752000
795 1.352233 0.753000
796 1.378810 0.735000
797 1.325011 0.735000
798 1.424984 0.758000
799 1.372548 0.761000
800 1.376550 0.747000
801 1.383957 0.750000
802 1.370282 0.732000
803 1.322055 0.743000
804 1.347915 0.742000
805 1.329069 0.743000
806 1.286689 0.759000
807 1.344886 0.738000
808 1.349997 0.741000
809 1.347475 0.744000
810 1.397659 0.748000
811 1.334491 0.733000
812 1.366556 0.742000
813 1.381910 0.745000
814 1.359072 0.738000
815 1.364300 0.742000
816 1.365273 0.749000
817 1.380579 0.738000
818 1.342015 0.735000
819 1.381698 0.751000
820 1.324242 0.747000
821 1.350778 0.732000
822 1.377523 0.742000
823 1.448263 0.753000
824 1.368492 0.739000
825 1.368606 0.742000
826 1.377637 0.753000
827 1.379452 0.743000
828 1.330806 0.740000
829 1.404917 0.751000
830 1.383941 0.757000
831 1.339322 0.746000
832 1.336878 0.749000
833 1.391730 0.757000
834 1.330997 0.747000
835 1.380547 0.749000
836 1.392628 0.753000
837 1.411956 0.751000
838 1.348303 0.737000
839 1.359377 0.743000
840 1.369900 0.757000
841 1.363523 0.753000
842 1.350481 0.762000
843 1.342626 0.745000
844 1.375178 0.741000
845 1.360651 0.736000
846 1.358305 0.764000
847 1.356383 0.756000
848 1.336251 0.735000
849 1.353137 0.752000
850 1.325464 0.735000
851 1.379047 0.748000
852 1.355909 0.753000
853 1.329892 0.748000
854 1.413186 0.749000
855 1.393753 0.743000
856 1.318760 0.740000
857 1.369778 0.748000
858 1.328623 0.736000
859 1.366376 0.746000
860 1.359920 0.750000
861 1.413488 0.758000
862 1.434559 0.753000
863 1.421810 0.741000
864 1.379127 0.747000
865 1.322938 0.758000
866 1.353233 0.747000
867 1.384098 0.738000
868 1.401891 0.756000
869 1.333418 0.743000
870 1.378580 0.737000
871 1.427268 0.752000
872 1.351326 0.751000
873 1.348342 0.759000
874 1.302973 0.757000
875 1.398896 0.758000
876 1.355015 0.757000
877 1.377564 0.746000
878 1.350633 0.747000
879 1.333051 0.751000
880 1.297262 0.741000
881 1.324167 0.758000
882 1.399187 0.779000
883 1.390636 0.756000
884 1.343032 0.764000
885 1.354306 0.754000
886 1.305270 0.756000
887 1.335033 0.753000
888 1.355732 0.769000
889 1.355040 0.756000
890 1.339504 0.762000
891 1.364387 0.749000
892 1.364594 0.771000
893 1.368267 0.763000
894 1.338631 0.767000
895 1.338783 0.767000
896 1.363270 0.754000
897 1.363076 0.752000
898 1.346333 0.758000
899 1.341324 0.759000
900 1.378640 0.771000
901 1.406643 0.776000
902 1.345593 0.764000
903 1.400257 0.772000
904 1.398902 0.768000
905 1.341550 0.748000
906 1.407504 0.765000
907 1.363987 0.756000
908 1.399688 0.774000
