# step avg_reward percentage_opt_action
543 1.304919 0.670000
544 1.373362 0.678000
545 1.245278 0.653000
546 1.235080 0.669000
547 1.331571 0.664000
548 1.252996 0.659000
549 1.244966 0.672000
550 1.296669 0.678000
551 1.339831 0.669000
552 1.302818 0.677000
553 1.384065 0.685000
554 1.189856 0.672000
555 1.243210 0.666000
556 1.290426 0.690000
557 1.276626 0.664000
558 1.242651 0.674000
559 1.333863 0.679000
560 1.314079 0.692000
561 1.316590 0.680000
562 1.250641 0.676000
563 1.303494 0.692000
564 1.254184 0.682000
565 1.259020 0.670000
566 1.347501 0.678000
567 1.295274 0.674000
568 1.297458 0.683000
569 1.262303 0.684000
570 1.275374 0.684000
571 1.325138 0.673000
572 1.261754 0.691000
573 1.365960 0.687000
574 1.315792 0.686000
575 1.313122 0.678000
576 1.329452 0.687000
577 1.261960 0.672000
578 1.319684 0.690000
579 1.358319 0.680000
580 1.346374 0.680000
581 1.326471 0.686000
582 1.264602 0.679000
583 1.326549 0.679000
584 1.309299 0.686000
585 1.269378 0.681000
586 1.224408 0.682000
587 1.324247 0.687000
588 1.291068 0.682000
589 1.332591 0.680000
590 1.404125 0.683000
591 1.301040 0.685000
592 1.270876 0.683000
593 1.290095 0.688000
594 1.358610 0.675000
595 1.362316 0.692000
596 1.316118 0.682000
597 1.276788 0.693000
598 1.333551 0.689000
599 1.315313 0.700000
600 1.351331 0.687000
601 1.360179 0.700000
602 1.328987 0.695000
603 1.355083 0.680000
604 1.388508 0.696000
605 1.281864 0.689000
606 1.297925 0.685000
607 1.316199 0.688000
608 1.289528 0.684000
609 1.300933 0.700000
610 1.311683 0.686000
611 1.251049 0.692000
612 1.328465 0.693000
613 1.342900 0.694000
614 1.328290 0.681000
615 1.334497 0.679000
616 1.305476 0.684000
617 1.268664 0.689000
618 1.299556 0.688000
619 1.300761 0.684000
620 1.274270 0.677000
621 1.310622 0.686000
622 1.317222 0.685000
623 1.239947 0.688000
624 1.321103 0.689000
625 1.314995 0.682000
626 1.282412 0.678000
627 1.215305 0.670000
628 1.322806 0.684000
629 1.256805 0.685000
630 1.289745 0.695000
631 1.350308 0.700000
632 1.319220 0.689000
633 1.247061 0.680000
634 1.310829 0.692000
635 1.292768 0.692000
636 1.239151 0.683000
637 1.322674 0.688000
638 1.327706 0.694000
639 1.250592 0.678000
640 1.302486 0.698000
641 1.287835 0.700000
642 1.238447 0.686000
643 1.253529 0.696000
644 1.333524 0.716000
645 1.323184 0.687000
646 1.270774 0.696000
647 1.292798 0.697000
648 1.317477 0.696000
649 1.338243 0.701000
650 1.325107 0.692000
651 1.281555 0.685000
652 1.263781 0.695000
653 1.301925 0.704000
654 1.291354 0.704000
655 1.268402 0.692000
656 1.231348 0.682000
657 1.291563 0.694000
658 1.304314 0.693000
659 1.318256 0.686000
660 1.306277 0.699000
661 1.318465 0.691000
662 1.371687 0.695000
663 1.271550 0.687000
664 1.302154 0.698000
665 1.310004 0.682000
666 1.299513 0.701000
667 1.378783 0.696000
668 1.241053 0.688000
669 1.279903 0.691000
670 1.313829 0.692000
671 1.317494 0.692000
672 1.274356 0.683000
673 1.315389 0.706000
674 1.289506 0.693000
675 1.259972 0.689000
