# step avg_reward percentage_opt_action
914 1.351054 0.737000
915 1.339482 0.727000
916 1.299031 0.731000
917 1.344045 0.742000
918 1.327973 0.733000
919 1.316887 0.723000
920 1.355602 0.736000
921 1.351410 0.756000
922 1.401603 0.740000
923 1.399563 0.752000
924 1.332769 0.743000
925 1.329022 0.731000
926 1.362717 0.747000
927 1.357164 0.752000
928 1.345979 0.744000
929 1.373234 0.738000
930 1.370132 0.745000
931 1.335203 0.729000
932 1.360663 0.738000
933 1.333396 0.727000
934 1.305608 0.742000
935 1.372333 0.738000
936 1.354386 0.747000
937 1.371594 0.739000
938 1.391950 0.743000
939 1.315079 0.732000
940 1.375697 0.732000
941 1.417586 0.752000
942 1.355295 0.740000
943 1.409716 0.732000
944 1.366956 0.738000
945 1.337182 0.726000
946 1.391063 0.762000
947 1.379808 0.751000
948 1.285792 0.754000
949 1.367922 0.731000
950 1.370636 0.746000
951 1.321641 0.748000
952 1.350323 0.749000
953 1.350631 0.748000
954 1.386981 0.748000
955 1.339671 0.745000
956 1.368265 0.747000
957 1.340354 0.759000
958 1.324543 0.738000
959 1.280688 0.736000
960 1.370741 0.756000
961 1.320906 0.749000
962 1.329451 0.750000
963 1.342334 0.749000
964 1.368027 0.755000
965 1.391226 0.760000
966 1.332395 0.750000
967 1.344244 0.752000
968 1.324808 0.748000
969 1.357588 0.748000
970 1.295691 0.729000
971 1.339232 0.753000
972 1.347486 0.750000
973 1.383664 0.761000
974 1.346260 0.749000
975 1.399301 0.746000
976 1.348702 0.751000
977 1.323957 0.757000
978 1.321594 0.736000
979 1.362075 0.766000
980 1.420970 0.759000
981 1.351164 0.743000
982 1.361234 0.763000
983 1.346738 0.757000
984 1.408615 0.762000
985 1.396953 0.763000
986 1.396386 0.767000
987 1.378644 0.769000
988 1.354287 0.760000
989 1.296779 0.747000
990 1.356725 0.761000
991 1.314633 0.756000
992 1.352403 0.751000
993 1.437394 0.775000
994 1.358294 0.763000
995 1.405853 0.772000
996 1.323692 0.759000
997 1.299254 0.751000
998 1.343748 0.765000
999 1.356241 0.769000
