# step avg_reward percentage_opt_action
349 1.192381 0.598000
350 1.195311 0.592000
351 1.219486 0.579000
352 1.202638 0.614000
353 1.274972 0.593000
354 1.259201 0.594000
355 1.225047 0.584000
356 1.172943 0.592000
357 1.270170 0.598000
358 1.249168 0.594000
359 1.229717 0.602000
360 1.183697 0.596000
361 1.228522 0.589000
362 1.162373 0.602000
363 1.203212 0.592000
364 1.257491 0.593000
365 1.255912 0.595000
366 1.240641 0.602000
367 1.245320 0.601000
368 1.264883 0.595000
369 1.234917 0.601000
370 1.230087 0.598000
371 1.229731 0.627000
372 1.265417 0.601000
373 1.266167 0.611000
374 1.202611 0.612000
375 1.180425 0.597000
376 1.259969 0.605000
377 1.259053 0.614000
378 1.319883 0.613000
379 1.217043 0.614000
380 1.282967 0.593000
381 1.259006 0.603000
382 1.191940 0.599000
383 1.256208 0.612000
384 1.219031 0.611000
385 1.270437 0.624000
386 1.255151 0.619000
387 1.227102 0.609000
388 1.262705 0.615000
389 1.256239 0.608000
390 1.277020 0.622000
391 1.196142 0.598000
392 1.263329 0.617000
393 1.257245 0.622000
394 1.271380 0.623000
395 1.230212 0.636000
396 1.258761 0.624000
397 1.285412 0.627000
398 1.303049 0.630000
399 1.290341 0.632000
400 1.300413 0.625000
401 1.277764 0.622000
402 1.225905 0.605000
403 1.200681 0.620000
404 1.204388 0.609000
405 1.246736 0.625000
406 1.208952 0.610000
407 1.226642 0.605000
408 1.271398 0.626000
409 1.281290 0.638000
410 1.222958 0.617000
411 1.211240 0.613000
412 1.239839 0.628000
413 1.235378 0.629000
414 1.263081 0.634000
415 1.280801 0.624000
416 1.291206 0.618000
417 1.248803 0.627000
418 1.311262 0.619000
419 1.247419 0.616000
420 1.233294 0.624000
421 1.260093 0.633000
422 1.280196 0.612000
423 1.240209 0.616000
424 1.246602 0.619000
425 1.227121 0.617000
426 1.236324 0.621000
427 1.227357 0.628000
428 1.240600 0.619000
429 1.199917 0.634000
430 1.194787 0.618000
431 1.206687 0.634000
432 1.231757 0.640000
433 1.189303 0.616000
434 1.218610 0.620000
435 1.179309 0.622000
436 1.257093 0.631000
437 1.236319 0.633000
438 1.253645 0.637000
439 1.300472 0.623000
440 1.254695 0.632000
441 1.207231 0.631000
442 1.234290 0.616000
443 1.211351 0.620000
444 1.260877 0.633000
445 1.230063 0.639000
446 1.285023 0.631000
447 1.265435 0.641000
448 1.241933 0.635000
449 1.285209 0.634000
450 1.295412 0.627000
451 1.276788 0.646000
452 1.271495 0.644000
453 1.220104 0.644000
454 1.312597 0.642000
455 1.186498 0.631000
456 1.205984 0.633000
457 1.253680 0.647000
458 1.281509 0.652000
459 1.324038 0.637000
460 1.258889 0.646000
461 1.216853 0.641000
462 1.296549 0.646000
463 1.257726 0.651000
464 1.287320 0.644000
465 1.306545 0.647000
466 1.243197 0.638000
467 1.340206 0.641000
468 1.239131 0.649000
469 1.233625 0.637000
470 1.285736 0.644000
471 1.223910 0.639000
472 1.217565 0.642000
473 1.233685 0.654000
474 1.247362 0.641000
475 1.212021 0.638000
476 1.307292 0.637000
477 1.249218 0.643000
478 1.303236 0.646000
479 1.273232 0.647000
480 1.205890 0.653000
481 1.325606 0.647000
482 1.196775 0.641000
483 1.283614 0.645000
484 1.228652 0.648000
485 1.286050 0.642000
486 1.322816 0.635000
487 1.263679 0.654000
488 1.216706 0.650000
489 1.253766 0.659000
